,Feature,Coef
0,0_reviews,-0.966
1,>30_reviews,0.6405
2,21-30_reviews,0.5459
3,1-10_reviews,-0.4155
4,contact_me,0.3457
5,>450_char_message*31-60d_lead_time,-0.3353
6,>450_char_message*>15d_stay,0.272
7,151-300_char_message*31-60d_lead_time,0.2582
8,contact_me*past_booker,-0.23
9,contact_me*3-4_guests,-0.221
10,>450_char_message*61-90d_lead_time,0.22
11,3-4_guests,0.2091
12,11-20_reviews,0.2011
13,>15d_stay,0.1936
14,contact_me*1_guest,0.1848
15,151-300_char_message*61-90d_lead_time,-0.1717
16,contact_me*61-90d_lead_time,0.1665
17,>450_char_message*1-30d_lead_time,0.1624
18,>6_guests,-0.1588
19,contact_me*>6_guests,0.154
20,>450_char_message*6-10d_stay,-0.1508
21,1_guest,-0.1492
22,301-450_char_message*>15d_stay,0.1487
23,0-150_char_message*1-30d_lead_time,-0.1459
24,151-300_char_message*11-15d_stay,0.1404
25,contact_me*2_guests,0.1383
26,0-150_char_message*>15d_stay,-0.1299
27,>450_char_message*11-15d_stay,-0.1299
28,contact_me*31-60d_lead_time,0.1269
29,5-6_guests,0.1134
30,11-15d_stay,-0.1128
31,0-150_char_message,-0.1111
32,301-450_char_message*11-15d_stay,-0.1097
33,past_booker,0.1066
34,151-300_char_message*>15d_stay,-0.0972
35,contact_me*5-6_guests,0.0896
36,contact_me*1-30d_lead_time,0.0807
37,0-150_char_message*6-10d_stay,0.0763
38,61-90d_lead_time,0.0731
39,>90d_lead_time,-0.0669
40,>450_char_message*1-5d_stay,0.0648
41,151-300_char_message*>90d_lead_time,-0.0608
42,>450_char_message,0.0562
43,0-150_char_message*>90d_lead_time,-0.053
44,151-300_char_message*1-5d_stay,-0.0525
45,151-300_char_message*6-10d_stay,0.0492
46,0-150_char_message*31-60d_lead_time,0.0488
47,6-10d_stay,-0.0477
48,0-150_char_message*1-5d_stay,-0.0439
49,151-300_char_message,0.0398
50,0-150_char_message*61-90d_lead_time,0.0389
51,301-450_char_message*>90d_lead_time,0.0378
52,contact_me*>90d_lead_time,-0.0284
53,1-5d_stay,-0.027
54,301-450_char_message*6-10d_stay,-0.0225
55,301-450_char_message*1-30d_lead_time,-0.0219
56,301-450_char_message,0.0212
57,301-450_char_message*31-60d_lead_time,0.0194
58,151-300_char_message*1-30d_lead_time,0.0141
59,301-450_char_message*61-90d_lead_time,-0.0141
60,0-150_char_message*11-15d_stay,-0.0136
61,>450_char_message*>90d_lead_time,0.0091
62,31-60d_lead_time,-0.0089
63,1-30d_lead_time,0.0087
64,2_guests,-0.0085
65,301-450_char_message*1-5d_stay,0.0047
