,Feature,Coef
0,accept_t,2.8898
1,1-10_interactions,-1.8771
2,>30_interactions*11-15d_stay,1.2886
3,>30_interactions,1.1339
4,1-10_interactions*11-15d_stay,-0.7764
5,>30_interactions*>90d_lead_time,0.7495
6,>30_interactions*>450_char_message,0.7292
7,>30_interactions*151-300_char_message,0.6642
8,1-10_interactions*>90d_lead_time,-0.6308
9,21-30_interactions,0.5978
10,>15d_stay,-0.5877
11,21-30_interactions*301-450_char_message,0.5845
12,1-10_interactions*6-10d_stay,-0.558
13,1-10_interactions*301-450_char_message,-0.5506
14,past_booker,0.5381
15,1-10_interactions*61-90d_lead_time,-0.5198
16,1-10_interactions*151-300_char_message,-0.4968
17,11-20_interactions*>15d_stay,-0.4855
18,21-30_interactions*0-150_char_message,0.46
19,1-10_interactions*>15d_stay,-0.4547
20,21-30_interactions*>450_char_message,-0.4544
21,21-30_interactions*1-30d_lead_time,0.4507
22,0-150_char_message*61-90d_lead_time,-0.4386
23,0_reviews,-0.4292
24,0-150_char_message,-0.4265
25,1-10_interactions*0-150_char_message,-0.4242
26,1-10_interactions*1-30d_lead_time,-0.415
27,>6_guests,-0.4068
28,1-10_interactions*>450_char_message,-0.4054
29,301-450_char_message*61-90d_lead_time,0.3974
30,11-20_interactions*1-5d_stay,0.3825
31,21-30_interactions*>15d_stay,0.3825
32,151-300_char_message*>15d_stay,-0.3805
33,11-20_interactions*6-10d_stay,0.3672
34,21-30_interactions*6-10d_stay,0.347
35,past_booker*1-10_interactions,0.3173
36,1-10_interactions*31-60d_lead_time,-0.3115
37,>30_interactions*61-90d_lead_time,0.3049
38,11-20_interactions*>450_char_message,0.3032
39,11-20_interactions*11-15d_stay,-0.2927
40,>30_interactions*0-150_char_message,-0.2849
41,151-300_char_message*11-15d_stay,0.2592
42,151-300_char_message*1-30d_lead_time,-0.2558
43,151-300_char_message*>90d_lead_time,0.251
44,past_booker*>30_interactions,0.233
45,301-450_char_message*>90d_lead_time,-0.218
46,0-150_char_message*1-5d_stay,-0.2143
47,>450_char_message*31-60d_lead_time,0.2128
48,11-20_interactions*61-90d_lead_time,0.2098
49,11-20_interactions*151-300_char_message,-0.1917
50,301-450_char_message*6-10d_stay,0.1896
51,11-20_interactions*0-150_char_message,-0.1774
52,301-450_char_message*>15d_stay,-0.1765
53,>450_char_message,0.1726
54,6-10d_stay,0.1702
55,2_guests,0.1668
56,1-5d_stay,0.1603
57,21-30_interactions*31-60d_lead_time,0.1573
58,5-6_guests,-0.1545
59,11-20_interactions*1-30d_lead_time,-0.1537
60,31-60d_lead_time,-0.1477
61,301-450_char_message*31-60d_lead_time,-0.1444
62,>450_char_message*1-30d_lead_time,0.1444
63,3-4_guests,0.1443
64,301-450_char_message*1-5d_stay,0.1432
65,>30_interactions*1-5d_stay,-0.1388
66,21-30_interactions*11-15d_stay,-0.1362
67,0-150_char_message*>15d_stay,-0.1351
68,11-20_interactions*>90d_lead_time,-0.1329
69,>450_char_message*11-15d_stay,-0.1296
70,past_booker*21-30_interactions,-0.1247
71,>30_interactions*1-30d_lead_time,0.1215
72,>450_char_message*1-5d_stay,0.1163
73,151-300_char_message*1-5d_stay,0.1151
74,past_booker*11-20_interactions,0.1124
75,151-300_char_message*31-60d_lead_time,-0.1094
76,0-150_char_message*31-60d_lead_time,-0.1066
77,>450_char_message*>15d_stay,0.1045
78,>30_reviews,0.1014
79,151-300_char_message*61-90d_lead_time,0.0975
80,301-450_char_message,0.0969
81,>450_char_message*>90d_lead_time,-0.0941
82,>450_char_message*61-90d_lead_time,-0.0905
83,0-150_char_message*6-10d_stay,-0.0903
84,1-10_interactions*1-5d_stay,-0.088
85,11-15d_stay,0.0834
86,>450_char_message*6-10d_stay,0.0814
87,1_guest,0.0765
88,0-150_char_message*>90d_lead_time,0.066
89,301-450_char_message*1-30d_lead_time,0.0621
90,21-30_reviews,0.0603
91,301-450_char_message*11-15d_stay,-0.0593
92,1-10_reviews,0.054
93,0-150_char_message*1-30d_lead_time,0.0528
94,11-20_interactions*31-60d_lead_time,0.0484
95,>30_interactions*31-60d_lead_time,-0.0421
96,11-20_reviews,0.0398
97,11-20_interactions*301-450_char_message,0.0376
98,61-90d_lead_time,-0.0343
99,>30_interactions*>15d_stay,-0.0299
100,21-30_interactions*61-90d_lead_time,-0.0293
101,11-20_interactions,-0.0283
102,>30_interactions*301-450_char_message,0.0254
103,21-30_interactions*>90d_lead_time,0.0191
104,151-300_char_message,-0.0167
105,>30_interactions*6-10d_stay,0.0141
106,0-150_char_message*11-15d_stay,0.0132
107,151-300_char_message*6-10d_stay,-0.0104
108,21-30_interactions*151-300_char_message,0.0076
109,>90d_lead_time,0.0049
110,21-30_interactions*1-5d_stay,0.0046
111,1-30d_lead_time,0.0035
