,guest_size,total_interactions,message_length,total_reviews,lead_time,days_of_stay,reply_t,accepted,contact_me,past_booker
117,2.0,9,228.0,4.0,60,32,55.21666666666667,1,1,1
120,1.0,13,67.0,1.0,0,2,13.216666666666667,1,0,1
121,4.0,17,39.0,144.0,133,2,6.966666666666668,1,0,1
123,4.0,2,146.0,2.0,3,2,229.95,0,1,0
124,1.0,3,365.0,0.0,190,6,675.0,0,1,0
125,2.0,5,138.0,2.0,34,7,51.2,0,0,1
126,2.0,3,276.0,0.0,17,3,2.85,1,1,0
127,2.0,3,411.0,1.0,62,16,3396.066666666666,0,0,0
128,2.0,29,656.0,37.0,45,2,44.8,1,1,0
129,4.0,30,200.0,0.0,91,21,1.7,1,1,0
130,2.0,2,252.0,0.0,0,2,196.38333333333333,0,1,1
131,2.0,12,295.0,22.0,96,4,29.98333333333333,1,0,1
133,2.0,2,247.0,0.0,196,5,1111.3666666666666,0,0,0
134,2.0,16,343.0,10.0,184,2,16.200000000000006,1,0,0
135,8.0,7,119.0,5.0,22,5,173.05,0,0,0
136,4.0,5,75.0,8.0,30,4,8.066666666666668,0,1,0
137,1.0,2,0.0,6.0,8,2,250.98333333333332,1,0,1
138,5.0,6,192.0,0.0,161,6,1185.0333333333333,0,1,0
139,5.0,17,157.0,0.0,55,6,90.31666666666666,0,1,0
140,1.0,11,405.0,10.0,181,7,29.95,0,0,1
141,4.0,2,186.0,0.0,109,4,795.9333333333333,0,1,0
142,1.0,9,44.0,1.0,0,4,826.0666666666667,0,1,0
143,6.0,2,146.0,0.0,30,5,102.63333333333334,0,1,0
145,6.0,4,134.0,1.0,39,15,8.6,1,1,0
146,1.0,3,158.0,2.0,6,92,573.2333333333332,0,1,1
148,2.0,4,750.0,10.0,15,5,4.066666666666666,1,0,0
149,4.0,3,61.0,0.0,22,4,283.71666666666664,0,1,0
150,10.0,6,80.0,5.0,41,4,47.01666666666666,1,0,0
151,4.0,25,999.0,1.0,100,21,36.56666666666667,1,1,1
152,2.0,8,254.0,20.0,20,7,100.9,1,0,1
153,5.0,3,138.0,0.0,48,4,891.8,0,1,0
155,3.0,9,94.0,0.0,17,2,6.15,0,1,0
156,2.0,12,702.0,3.0,28,6,2.833333333333333,0,1,1
157,3.0,3,0.0,2.0,31,3,1682.8833333333334,0,0,1
158,2.0,8,90.0,5.0,93,8,315.8333333333333,0,1,0
160,4.0,2,163.0,1.0,24,4,1.9333333333333336,0,1,0
163,2.0,55,73.0,1.0,20,5,18.183333333333334,1,0,0
164,1.0,4,42.0,0.0,29,6,8.616666666666667,0,1,0
165,4.0,4,194.0,0.0,153,1,6.766666666666668,1,1,0
169,2.0,2,154.0,12.0,221,2,36.31666666666667,0,1,0
171,1.0,5,47.0,0.0,67,10,6.15,0,1,1
172,2.0,5,153.0,0.0,166,9,77.95,1,0,1
173,3.0,4,256.0,0.0,155,31,2494.0666666666666,0,0,0
174,2.0,8,135.0,45.0,62,3,105.08333333333331,1,0,0
175,4.0,3,315.0,0.0,1,2,1027.8333333333335,0,0,0
176,2.0,2,181.0,9.0,107,6,290.2,0,1,0
177,1.0,4,65.0,0.0,201,4,40.43333333333333,0,1,0
178,1.0,2,536.0,1.0,1,3,2797.55,0,0,0
179,2.0,13,245.0,0.0,66,10,930.5166666666668,1,0,1
180,2.0,5,547.0,0.0,89,11,711.2166666666667,0,1,0
181,2.0,3,376.0,42.0,29,3,8.933333333333334,0,1,1
