,guest_size,total_interactions,message_length,total_reviews,lead_time,days_of_stay,reply_t,accepted,contact_me,past_booker
3089,1.0,3,247.0,10.0,34,4,460.63333333333327,0,0,0
3090,2.0,3,31.0,0.0,135,3,320.7,0,0,0
3091,1.0,15,66.0,16.0,1,2,176.03333333333333,1,0,1
3092,3.0,4,195.0,0.0,49,42,2350.1,0,1,0
3093,4.0,3,0.0,0.0,0,3,0.0,1,1,1
3094,3.0,3,320.0,0.0,13,8,1577.4833333333331,1,1,1
3095,1.0,7,209.0,32.0,54,24,67.13333333333334,1,1,1
3096,4.0,25,102.0,2.0,210,7,272.9166666666667,1,0,0
3097,1.0,5,146.0,0.0,173,30,19.15,0,1,1
3098,3.0,4,251.0,0.0,103,48,794.6,0,1,0
3100,2.0,5,572.0,1.0,25,41,437.1833333333333,0,0,0
3101,2.0,4,307.0,4.0,8,3,77.6,1,1,0
3102,2.0,6,39.0,78.0,13,3,3.283333333333333,0,1,0
3103,4.0,6,167.0,1.0,77,2,3.083333333333333,0,0,1
3105,2.0,7,632.0,28.0,127,10,121.18333333333334,0,1,0
3106,4.0,3,73.0,17.0,15,6,353.6833333333333,1,1,1
3107,4.0,5,247.0,0.0,146,2,2.7666666666666666,0,0,0
3108,2.0,2,253.0,130.0,225,2,12.383333333333333,0,0,0
3109,1.0,4,352.0,0.0,151,23,19.35,1,1,1
3110,3.0,4,120.0,0.0,2,1,39.583333333333336,0,1,0
3111,2.0,2,39.0,3.0,0,4,51.28333333333333,0,1,0
3112,2.0,4,593.0,2.0,1,4,300.85,0,0,0
3113,1.0,2,63.0,0.0,201,6,27.58333333333333,0,1,0
3114,2.0,8,0.0,2.0,137,3,448.28333333333336,0,0,1
3115,1.0,3,372.0,5.0,5,1,15235.516666666665,0,1,0
3117,12.0,5,117.0,15.0,366,3,206.86666666666667,0,1,0
3118,2.0,5,119.0,20.0,10,2,42.8,1,1,0
3120,4.0,2,18.0,1.0,19,4,0.0,1,1,0
3121,8.0,4,684.0,12.0,19,6,1026.9,0,0,0
3122,4.0,19,117.0,0.0,23,4,241.28333333333333,0,1,0
3123,2.0,7,398.0,0.0,1,27,3182.0333333333333,0,0,1
3124,2.0,2,64.0,36.0,53,7,29.85,0,1,0
3125,2.0,3,57.0,4.0,130,13,529.3666666666667,0,0,0
3126,1.0,12,343.0,12.0,16,7,839.45,1,0,0
3128,2.0,4,618.0,0.0,56,7,125.81666666666668,0,0,0
3129,1.0,25,110.0,37.0,2,5,19.883333333333333,1,1,1
3130,4.0,2,0.0,0.0,196,5,567.5166666666668,0,0,0
3131,2.0,3,280.0,28.0,38,2,661.8833333333333,1,1,1
3134,3.0,7,0.0,2.0,149,4,19.033333333333328,0,0,1
3135,3.0,60,55.0,0.0,198,9,445.96666666666664,0,1,0
3136,2.0,9,219.0,7.0,34,4,36.56666666666667,1,1,0
3137,2.0,3,420.0,0.0,107,14,1336.5166666666667,0,1,0
3138,1.0,6,261.0,5.0,1,5,9.816666666666666,1,1,0
3139,2.0,4,117.0,0.0,261,3,756.5,0,0,1
3140,2.0,6,87.0,7.0,6,1,261.78333333333336,0,0,0
3141,8.0,17,296.0,6.0,1,3,6.316666666666666,1,1,1
3142,1.0,4,311.0,0.0,186,23,1707.666666666667,0,1,0
3143,2.0,3,0.0,0.0,96,2,230.6833333333333,0,0,0
3144,4.0,4,148.0,0.0,103,5,34.1,0,0,0
3145,2.0,12,82.0,3.0,28,1,1.8666666666666667,0,0,0
3146,5.0,2,250.0,0.0,28,4,6608.65,0,1,1
3147,3.0,11,87.0,87.0,35,3,1489.5166666666669,1,0,1
3148,2.0,4,325.0,1.0,7,4,170.1,0,1,1
3149,1.0,4,151.0,6.0,1,2,196.28333333333333,0,0,1
3150,6.0,2,81.0,0.0,29,7,1599.7,0,1,0
3151,4.0,3,127.0,24.0,11,7,21.2,0,1,0
3152,3.0,2,505.0,13.0,207,3,21154.08333333333,0,1,1
3153,4.0,6,130.0,0.0,159,4,13.5,1,1,0
3154,1.0,4,167.0,60.0,42,3,100.91666666666669,1,1,0
3155,3.0,3,97.0,20.0,12,3,1056.6666666666667,0,0,0
3156,2.0,15,645.0,0.0,197,198,72.18333333333334,0,1,1
3158,2.0,3,227.0,2.0,86,5,1446.333333333333,0,1,1
3159,1.0,2,679.0,0.0,13,61,75.3,0,1,0
3160,3.0,5,206.0,5.0,229,7,47.83333333333334,0,0,1
3161,4.0,2,82.0,0.0,183,8,506.4333333333333,0,1,0
3162,1.0,7,120.0,6.0,52,30,21.78333333333333,0,1,0
3163,2.0,4,328.0,9.0,34,3,305.73333333333335,0,1,0
3164,3.0,2,117.0,0.0,24,4,174.81666666666663,0,1,0
3165,4.0,3,34.0,95.0,31,5,42.333333333333336,0,1,0
3166,1.0,2,135.0,0.0,24,3,6.15,0,0,0
3167,4.0,24,38.0,0.0,149,9,200.78333333333333,0,0,0
3168,1.0,5,65.0,3.0,74,4,29.35,1,1,1
3169,1.0,11,193.0,3.0,174,28,5.4833333333333325,0,0,0
3170,1.0,2,251.0,2.0,178,3,9338.833333333334,0,1,0
3171,6.0,3,242.0,0.0,189,2,154.83333333333334,0,1,0
3172,3.0,15,218.0,23.0,44,7,14.966666666666667,1,1,1
3173,2.0,9,1059.0,5.0,73,8,10.816666666666665,1,1,1
3174,9.0,6,69.0,0.0,9,5,1.3666666666666667,1,1,0
3175,4.0,4,329.0,1.0,198,6,736.9,0,0,1
3176,2.0,2,106.0,3.0,95,5,1118.4333333333334,0,1,0
3177,4.0,2,261.0,21.0,198,5,5595.333333333332,0,1,0
3179,1.0,3,192.0,0.0,60,30,34.46666666666667,0,0,1
3180,3.0,2,418.0,27.0,9,3,389.48333333333335,0,1,1
3181,2.0,5,244.0,5.0,187,1,11.3,0,1,0
3182,5.0,3,40.0,1.0,76,4,132.61666666666667,1,1,0
3183,1.0,3,96.0,0.0,22,3,2.25,0,1,0
3184,4.0,15,380.0,7.0,20,4,6.7,1,0,1
3185,2.0,15,0.0,0.0,18,6,5778.883333333332,0,0,0
3186,2.0,3,133.0,0.0,135,10,7544.05,0,0,1
3189,2.0,11,199.0,0.0,107,14,184.96666666666667,0,0,0
3191,1.0,12,269.0,0.0,103,16,308.65,0,1,0
3192,4.0,6,123.0,18.0,123,3,7.4,0,0,0
3193,1.0,11,253.0,41.0,57,4,4.833333333333333,1,1,1
3194,4.0,4,0.0,0.0,18,7,121.4,0,1,0
3196,4.0,17,380.0,0.0,16,7,125.11666666666667,0,0,1
3197,5.0,3,46.0,7.0,315,4,8.450000000000001,0,1,1
3198,4.0,2,476.0,4.0,156,10,87.13333333333334,0,0,0
3199,1.0,2,348.0,4.0,90,25,222.48333333333332,0,1,0
3200,2.0,5,0.0,12.0,124,2,101.25,0,0,0
3201,2.0,2,33.0,0.0,124,11,34.766666666666666,0,1,0
3203,3.0,2,137.0,0.0,202,1,6996.616666666668,0,1,1
3204,2.0,4,180.0,1.0,40,14,62.70000000000001,0,1,1
3206,1.0,3,67.0,10.0,2,11,1.1833333333333331,1,1,0
3207,1.0,2,238.0,1.0,21,1,2.783333333333333,0,1,0
3209,1.0,3,19.0,4.0,125,4,7.433333333333334,0,0,0
3210,3.0,48,532.0,7.0,76,7,453.76666666666665,1,1,1
3211,2.0,6,285.0,0.0,90,7,32.300000000000004,0,0,1
3212,1.0,6,114.0,69.0,23,4,0.2333333333333333,0,0,0
3213,1.0,4,151.0,2.0,16,3,72.26666666666667,0,0,1
3214,3.0,3,849.0,1.0,203,24,740.9833333333332,0,0,0
3216,2.0,5,99.0,0.0,200,12,1935.05,1,1,0
3217,4.0,20,55.0,0.0,196,3,347.61666666666673,0,1,0
3220,2.0,5,78.0,0.0,188,7,2149.2833333333333,0,1,0
3222,6.0,3,112.0,0.0,71,4,922.5833333333336,0,1,0
3223,2.0,4,672.0,0.0,64,1,270.48333333333335,0,1,0
3224,1.0,6,197.0,13.0,186,7,79.46666666666667,0,1,1
3228,2.0,3,928.0,2.0,12,6,12.033333333333333,1,1,0
3229,2.0,2,0.0,9.0,189,3,532.5666666666667,0,0,0
3231,2.0,3,81.0,1.0,84,3,51.96666666666667,0,0,1
3232,5.0,4,343.0,67.0,12,6,13.6,1,1,0
3233,2.0,3,137.0,1.0,70,29,59.53333333333333,0,1,1
3234,1.0,3,1012.0,17.0,23,3,146.98333333333332,0,1,0
3235,2.0,3,331.0,0.0,2,25,544.7333333333332,1,1,1
3237,3.0,2,374.0,1.0,200,4,773.6333333333333,0,1,0
3238,6.0,7,228.0,0.0,92,7,10.166666666666666,0,1,0
3240,1.0,3,70.0,0.0,0,9,2860.55,1,1,0
3241,7.0,3,116.0,45.0,28,5,197.98333333333332,1,1,0
3242,2.0,18,235.0,10.0,3,10,1.4166666666666667,1,1,1
3243,4.0,5,590.0,4.0,218,5,137.61666666666667,1,0,1
3244,6.0,4,313.0,0.0,17,3,1114.8166666666666,0,1,0
3245,2.0,23,198.0,12.0,195,10,2.933333333333333,1,1,0
3246,4.0,2,115.0,95.0,15,3,4.033333333333334,0,1,0
3247,5.0,3,19.0,3.0,204,2,17.033333333333335,1,1,0
3248,4.0,2,94.0,0.0,19,4,107.9,0,1,0
3249,3.0,7,136.0,47.0,193,6,0.4166666666666667,1,1,1
3250,4.0,8,17.0,14.0,4,1,2.35,0,0,0
3251,4.0,15,256.0,19.0,142,8,149.56666666666666,1,1,1
3252,4.0,6,98.0,2.0,241,7,11.083333333333336,0,1,0
3253,4.0,3,82.0,23.0,31,4,1444.05,0,1,0
3254,4.0,2,89.0,0.0,32,5,967.4333333333333,0,1,0
3255,2.0,2,0.0,42.0,42,3,331.0,0,0,0
3256,2.0,2,102.0,0.0,57,3,16.450000000000006,0,1,0
3257,4.0,2,113.0,0.0,150,1,910.9833333333332,0,0,0
3259,6.0,4,99.0,20.0,65,3,105.18333333333334,1,1,0
3261,1.0,4,403.0,0.0,48,15,748.6166666666667,1,1,0
3262,2.0,8,145.0,0.0,68,5,622.5,1,0,0
3263,5.0,2,55.0,4.0,195,17,1080.3833333333334,0,1,0
3264,6.0,3,317.0,0.0,214,6,33.18333333333334,0,1,0
3265,2.0,6,707.0,5.0,93,7,385.9,1,0,0
3266,4.0,14,178.0,18.0,10,7,2657.5,1,0,0
3267,2.0,2,30.0,0.0,8,3,368.73333333333335,0,0,1
3268,4.0,2,218.0,47.0,26,3,64.31666666666668,0,1,0
3269,4.0,2,184.0,0.0,193,7,356.95,0,1,0
3271,10.0,4,130.0,1.0,86,17,26.28333333333333,0,1,0
3272,1.0,6,373.0,2.0,186,16,368.06666666666666,0,1,0
3275,2.0,7,541.0,14.0,14,30,688.05,0,1,1
3276,4.0,5,54.0,0.0,4,4,99.45,0,1,0
3277,3.0,3,43.0,0.0,105,7,1890.8666666666666,0,1,0
3278,4.0,2,193.0,0.0,12,4,61.11666666666667,0,1,0
3279,1.0,4,904.0,1.0,223,4,298416.51666666666,0,1,0
3281,4.0,2,214.0,0.0,1,2,90088.15,0,1,1
3282,4.0,2,173.0,3.0,106,3,53.63333333333333,0,1,0
3283,1.0,6,92.0,1.0,6,1,6.3,1,1,1
3284,4.0,2,141.0,0.0,17,5,4094.616666666667,0,1,1
3285,3.0,2,155.0,0.0,3,5,467.31666666666666,0,1,0
3286,3.0,2,222.0,8.0,43,4,0.13333333333333333,0,1,1
3287,2.0,3,338.0,1.0,138,11,75.45,0,1,0
3288,3.0,5,111.0,0.0,32,5,80.35,0,1,0
3289,4.0,8,76.0,0.0,173,12,44.51666666666666,1,1,1
3290,7.0,3,173.0,2.0,29,5,197.4333333333333,1,1,0
3291,6.0,7,554.0,0.0,51,1,1022.85,0,1,0
3293,6.0,3,147.0,36.0,5,3,0.16666666666666666,0,1,0
3295,2.0,10,144.0,14.0,27,6,31.48333333333333,1,0,0
3296,3.0,4,51.0,16.0,9,4,205.9333333333333,0,1,1
3297,6.0,3,579.0,16.0,34,6,136.65,0,1,1
3298,2.0,3,50.0,9.0,114,4,452.8,0,0,1
3299,2.0,3,494.0,93.0,28,6,2573.35,1,1,0
3300,1.0,45,0.0,30.0,18,1,281.48333333333335,1,0,0
3301,4.0,4,0.0,3.0,0,5,1442.9833333333331,0,0,0
3302,3.0,3,221.0,4.0,193,13,946.0,0,1,0
3303,2.0,3,62.0,0.0,223,3,1506.833333333333,0,1,0
3304,4.0,5,99.0,18.0,195,3,4.45,1,1,0
3307,4.0,6,83.0,0.0,26,4,2.316666666666667,0,1,0
3311,2.0,3,0.0,2.0,197,3,223.8333333333333,0,0,1
3312,5.0,2,231.0,0.0,27,6,301.6,0,0,0
3313,2.0,11,98.0,0.0,153,9,2870.1,0,1,0
3316,3.0,3,320.0,0.0,116,14,258.3833333333334,0,1,0
3317,3.0,2,129.0,2.0,134,4,9.033333333333333,0,1,0
3319,2.0,3,0.0,1.0,93,17,2881.333333333333,0,0,0
3320,3.0,14,633.0,0.0,60,1,15.966666666666667,0,1,1
3321,2.0,8,262.0,2.0,106,14,1328.3,0,0,0
3322,4.0,4,233.0,0.0,189,7,1.3333333333333333,0,1,0
3324,5.0,2,0.0,5.0,215,3,610.4666666666667,0,0,1
3325,3.0,2,70.0,0.0,155,2,95.21666666666668,0,1,0
3326,3.0,7,126.0,9.0,29,3,12.933333333333335,1,0,0
3327,1.0,2,390.0,1.0,10,6,18800.616666666665,0,1,0
3328,2.0,3,109.0,0.0,182,6,62.96666666666668,0,1,0
3329,4.0,3,203.0,4.0,102,15,2597.75,0,1,0
3330,1.0,5,82.0,0.0,60,13,2.433333333333333,0,1,0
3331,7.0,6,593.0,11.0,44,7,31.383333333333336,1,1,0
3332,3.0,14,131.0,0.0,8,5,321.78333333333336,1,1,0
3333,2.0,2,106.0,0.0,109,41,0.0,0,1,0
3334,4.0,5,188.0,0.0,37,4,115.5,1,1,0
3335,6.0,25,81.0,21.0,129,21,256.40000000000003,1,0,0
3336,2.0,5,235.0,5.0,17,3,1212.05,0,0,0
3338,4.0,4,276.0,22.0,48,3,6980.95,0,0,0
3339,7.0,48,78.0,2.0,31,3,354.7333333333333,1,0,0
3340,5.0,5,262.0,1.0,191,3,25.85,1,1,1
3341,4.0,2,0.0,0.0,109,1,34.48333333333333,0,0,0
3342,4.0,3,78.0,12.0,18,3,59.8,1,1,0
3343,2.0,3,168.0,0.0,211,10,2467.2833333333333,0,1,0
3344,3.0,3,64.0,1.0,141,6,236.65,0,0,1
3345,2.0,2,60.0,2.0,195,1,99.1,0,0,1
3347,4.0,5,72.0,10.0,223,8,735.1333333333333,1,1,0
3348,2.0,2,504.0,1.0,205,8,528.9666666666667,0,1,0
3349,2.0,3,539.0,3.0,1,2,130.8166666666667,1,1,0
3351,2.0,109,371.0,4.0,5,11,23.75,1,1,1
3353,6.0,3,124.0,0.0,75,3,1.4333333333333331,0,1,1
3354,2.0,4,324.0,1.0,199,2,393.11666666666673,0,1,0
3357,1.0,2,203.0,109.0,5,5,98.95,0,1,0
3358,6.0,17,238.0,13.0,30,3,172.36666666666667,0,1,1
3359,2.0,6,23.0,2.0,0,3,507.78333333333336,0,0,0
3361,1.0,10,151.0,1.0,3,3,9.0,1,1,1
3362,2.0,3,152.0,38.0,39,3,261.9666666666667,1,1,0
3363,2.0,4,457.0,5.0,83,2,782.7833333333333,0,0,1
3364,2.0,8,163.0,4.0,117,3,31.53333333333334,1,1,0
3365,2.0,57,117.0,4.0,12,7,1.3,1,1,1
3366,3.0,4,0.0,0.0,185,3,231.73333333333332,0,0,0
3367,4.0,9,8.0,0.0,203,6,13.266666666666667,0,0,1
3368,2.0,7,49.0,15.0,104,9,110.75,1,0,1
3370,7.0,4,377.0,0.0,68,8,169.11666666666667,1,1,1
3371,2.0,2,107.0,48.0,3,2,3.566666666666667,0,1,1
3372,7.0,9,62.0,0.0,23,5,1232.0166666666667,0,1,0
3373,2.0,36,671.0,5.0,7,3,26.48333333333333,1,1,1
3374,6.0,22,166.0,16.0,6,2,17.483333333333334,1,1,0
3375,1.0,3,275.0,1.0,143,2,0.75,0,0,1
3376,2.0,2,289.0,2.0,205,15,67171.00000000001,0,1,0
3378,1.0,4,268.0,3.0,184,18,1529.6166666666666,0,1,0
3379,2.0,2,174.0,17.0,16,4,54.13333333333333,1,0,0
3380,2.0,7,60.0,1.0,4,3,74.21666666666667,0,1,1
3381,1.0,4,184.0,2.0,21,7,79.05,0,1,0
3383,5.0,9,197.0,20.0,3,2,6.0,1,1,1
3384,2.0,3,108.0,3.0,54,5,121.91666666666669,1,1,0
3385,5.0,9,191.0,16.0,161,6,1.5666666666666669,0,1,0
3386,1.0,4,83.0,0.0,112,30,50.3,1,1,0
3387,2.0,3,0.0,56.0,203,6,0.0,0,0,1
3389,2.0,3,260.0,4.0,303,5,831.55,0,0,0
3390,1.0,6,63.0,0.0,86,24,138.53333333333333,0,1,1
3391,1.0,5,155.0,1.0,2,4,3845.75,0,0,1
3392,4.0,4,130.0,0.0,74,3,90.76666666666668,0,1,0
3393,2.0,2,199.0,2.0,199,4,142.7,0,1,0
3395,1.0,10,58.0,32.0,15,2,77.28333333333333,1,0,0
3396,4.0,6,115.0,0.0,15,3,143.71666666666667,0,1,0
3397,2.0,3,0.0,1.0,1,5,113.15,0,0,0
3399,3.0,3,133.0,0.0,143,19,794.3166666666667,1,1,0
3400,4.0,3,305.0,3.0,204,4,17.433333333333334,0,1,0
3401,4.0,2,108.0,1.0,27,7,13902.9,0,1,1
3402,1.0,2,206.0,5.0,193,10,371.6,0,1,0
3403,8.0,2,489.0,0.0,90,6,1207.1333333333334,0,0,0
3405,1.0,2,104.0,2.0,186,6,369.9,0,1,0
3406,2.0,2,165.0,1.0,213,2,304.21666666666664,0,1,0
3407,4.0,13,197.0,0.0,68,9,963.25,1,1,1
3408,2.0,5,540.0,3.0,9,3,2.4,0,1,1
3409,2.0,5,131.0,0.0,45,1,0.0,1,1,0
3411,4.0,2,117.0,33.0,134,9,884.55,0,1,1
3412,2.0,5,55.0,82.0,23,9,12.45,1,0,1
3413,4.0,2,88.0,1.0,140,6,606.5,0,1,0
3414,4.0,25,1142.0,0.0,194,22,179.91666666666663,1,1,1
3416,6.0,8,594.0,1.0,95,15,1421.35,0,0,1
3417,3.0,20,409.0,3.0,101,7,286.78333333333336,0,0,0
3420,1.0,4,60.0,0.0,32,10,393.6,1,1,0
3421,3.0,3,116.0,4.0,9,2,1.7,1,1,0
3422,2.0,3,1022.0,5.0,29,6,143.1,0,1,1
3423,5.0,3,127.0,20.0,48,9,4.250000000000001,1,1,1
3425,2.0,2,586.0,5.0,10,6,20.766666666666666,0,1,1
3426,2.0,2,71.0,0.0,26,6,149.91666666666666,0,1,0
3427,4.0,2,379.0,0.0,47,6,356.63333333333327,0,0,0
3428,4.0,3,272.0,0.0,127,10,14.4,1,1,0
3429,2.0,4,181.0,0.0,116,17,91.93333333333334,0,0,0
3430,1.0,3,102.0,0.0,20,5,9.916666666666666,1,1,1
3431,1.0,3,154.0,0.0,29,5,16.416666666666668,0,1,0
3433,1.0,8,173.0,0.0,58,5,5.416666666666668,0,1,1
3434,2.0,2,111.0,0.0,142,19,344.1833333333333,0,1,0
3435,2.0,14,654.0,6.0,22,3,1987.3666666666668,0,0,1
3436,2.0,7,0.0,0.0,136,10,40.583333333333336,0,0,0
3437,6.0,3,288.0,0.0,175,17,201.0833333333333,0,1,0
3439,4.0,5,48.0,0.0,114,16,450.7,0,0,0
3440,2.0,39,93.0,3.0,25,4,3.4,1,0,1
3441,1.0,24,345.0,8.0,3,5,710.7166666666667,1,0,1
3442,1.0,9,1.0,20.0,7,12,19.516666666666666,1,0,1
3443,6.0,9,244.0,29.0,0,2,9.883333333333333,1,0,1
3444,3.0,26,290.0,11.0,193,6,9.533333333333333,1,1,1
3445,1.0,3,180.0,16.0,60,38,16.233333333333334,0,1,0
3446,7.0,3,136.0,18.0,285,7,42.95,0,0,0
3447,4.0,23,194.0,19.0,33,3,87.91666666666669,1,0,0
3448,8.0,4,153.0,0.0,164,14,364.65,0,1,0
3449,2.0,11,42.0,9.0,7,6,34.78333333333333,1,0,0
3450,1.0,3,539.0,8.0,10,253,15.45,0,1,0
3451,2.0,7,212.0,36.0,0,4,16.733333333333334,1,1,0
3452,1.0,10,80.0,1.0,47,1,49.35,1,0,0
3453,2.0,13,195.0,0.0,50,6,784.7333333333332,1,0,0
3454,3.0,20,379.0,3.0,207,5,273.00000000000006,1,0,0
3457,4.0,9,111.0,0.0,26,4,171.55,0,1,1
3458,2.0,3,290.0,182.0,16,1,105.48333333333332,1,1,0
3459,6.0,2,0.0,2.0,22,3,1230.25,0,0,0
3460,3.0,6,32.0,0.0,199,1,8.95,0,0,1
3461,1.0,6,462.0,1.0,188,20,413.7,0,1,0
3463,2.0,3,29.0,0.0,70,5,1172.75,1,1,0
3464,2.0,4,978.0,0.0,172,19,555.9666666666667,1,1,1
3466,7.0,2,59.0,0.0,60,2,1245.0666666666666,0,1,0
3468,5.0,8,53.0,0.0,120,8,423.95,0,0,0
3469,2.0,3,526.0,1.0,118,10,6.966666666666668,1,1,1
3470,1.0,4,228.0,0.0,201,14,2860.633333333333,0,1,0
3472,2.0,5,0.0,0.0,121,2,12.016666666666667,0,0,1
3474,2.0,4,790.0,0.0,142,4,256.28333333333336,0,1,1
3475,10.0,2,140.0,0.0,71,4,230.91666666666663,0,1,1
3477,2.0,5,188.0,3.0,0,5,32.7,1,1,1
3479,2.0,10,377.0,24.0,16,4,889.25,1,0,1
3480,2.0,11,555.0,5.0,3,3,23.68333333333333,0,1,0
3482,1.0,6,482.0,0.0,10,63,1393.4333333333334,0,1,0
3483,5.0,2,50.0,0.0,10,4,29.83333333333333,0,1,0
3485,6.0,3,60.0,0.0,11,7,397.05,0,0,0
3489,1.0,13,402.0,1.0,135,21,483.95,1,1,0
3492,4.0,2,365.0,1.0,132,2,455.6,0,1,0
3493,4.0,3,65.0,3.0,23,3,196.88333333333333,1,1,0
3494,4.0,4,114.0,10.0,180,9,40.41666666666666,1,1,0
3495,1.0,3,86.0,0.0,71,20,973.8666666666667,0,1,1
3496,2.0,39,248.0,6.0,0,7,885.0333333333333,1,0,1
3498,4.0,9,57.0,0.0,72,7,1847.6833333333327,0,1,0
3499,1.0,6,575.0,2.0,196,2,57.53333333333333,1,1,0
3500,2.0,6,545.0,0.0,184,4,647.6833333333333,1,1,0
3501,1.0,5,124.0,20.0,97,8,483.66666666666674,0,1,0
3502,8.0,14,118.0,75.0,28,5,3.333333333333333,0,1,0
3504,3.0,2,127.0,1.0,22,3,1928.083333333333,0,1,0
3505,5.0,8,0.0,7.0,195,2,513.0166666666668,1,0,1
3506,3.0,3,274.0,0.0,148,12,1459.466666666667,0,0,1
3507,1.0,2,456.0,0.0,0,6,85.43333333333334,0,1,0
3510,8.0,8,283.0,0.0,226,7,273.6166666666667,0,0,1
3511,5.0,8,0.0,2.0,2,4,169.08333333333334,1,0,0
3512,1.0,10,86.0,3.0,157,20,19.166666666666668,0,0,0
3513,2.0,4,770.0,17.0,211,7,1085.4,0,0,1
3514,4.0,2,53.0,0.0,30,7,0.26666666666666666,0,1,0
3515,5.0,8,274.0,0.0,93,1,483.71666666666664,1,1,0
3516,2.0,4,270.0,33.0,68,3,546.8666666666667,0,0,1
3517,1.0,3,36.0,5.0,33,4,896.6166666666667,0,1,1
3518,4.0,19,563.0,2.0,26,3,73.41666666666667,1,1,1
3520,1.0,3,141.0,0.0,54,21,125.31666666666668,0,1,1
3521,2.0,3,0.0,0.0,17,4,996.25,0,0,0
3522,2.0,5,403.0,18.0,20,5,680.4333333333333,0,1,1
3523,6.0,3,488.0,4.0,31,31,308.78333333333336,0,1,1
3524,1.0,106,317.0,0.0,161,1,2.583333333333333,1,1,0
3526,9.0,8,436.0,0.0,155,7,2878.083333333333,0,0,1
3527,2.0,2,146.0,0.0,20,1,3402.766666666667,0,0,1
3529,15.0,6,648.0,7.0,169,3,864.1,1,1,0
3531,2.0,20,113.0,0.0,4,3,1339.6666666666667,0,1,0
3532,2.0,18,209.0,0.0,48,3,1.6666666666666667,1,1,0
3533,4.0,3,92.0,22.0,18,4,1.35,1,1,0
3534,2.0,25,0.0,12.0,2,1,477.8,1,0,1
3538,7.0,5,194.0,8.0,133,9,5.033333333333333,0,1,0
3539,1.0,43,81.0,47.0,83,4,5.083333333333333,1,1,0
3540,3.0,16,133.0,2.0,22,3,1.3666666666666667,1,0,1
3541,4.0,3,129.0,0.0,47,1,149.3,0,0,0
3542,5.0,5,526.0,4.0,338,5,15.633333333333335,1,1,1
3543,2.0,2,306.0,6.0,13,30,416.63333333333327,0,1,1
3545,5.0,3,111.0,0.0,46,4,4731.933333333333,1,1,0
3546,2.0,3,112.0,4.0,45,1,4.266666666666667,0,1,0
3548,2.0,13,51.0,1.0,48,5,0.0,1,1,0
3549,3.0,54,15.0,32.0,27,5,26.05,1,0,0
3550,4.0,6,277.0,26.0,19,1,0.35,0,1,0
3552,1.0,5,676.0,0.0,116,38,2265.483333333333,0,0,0
3553,2.0,4,456.0,0.0,130,10,1470.4,0,1,0
3554,4.0,3,144.0,0.0,103,8,201.5,1,1,0
3555,2.0,5,319.0,5.0,9,2,1.916666666666667,0,1,0
3557,5.0,5,153.0,2.0,19,3,0.05,1,1,0
3558,2.0,2,103.0,0.0,5,4,2.816666666666667,0,1,0
3559,2.0,2,154.0,1.0,30,7,3214.433333333333,0,1,0
3560,1.0,15,1638.0,47.0,13,8,732.8833333333333,1,0,0
3561,4.0,2,420.0,0.0,25,4,63.98333333333334,0,1,1
3562,2.0,2,76.0,0.0,28,7,3347.1,0,1,0
3563,6.0,10,963.0,18.0,30,2,264.83333333333337,1,1,0
3564,4.0,2,99.0,0.0,166,8,265.00000000000006,0,1,1
3565,1.0,7,607.0,0.0,86,31,150.16666666666666,0,1,0
3570,2.0,5,217.0,0.0,19,1,4345.166666666667,0,0,0
3571,2.0,4,156.0,1.0,25,2,2674.65,0,1,0
3573,2.0,17,108.0,4.0,10,5,84.58333333333333,1,0,1
3574,2.0,19,71.0,11.0,1,16,863.7,1,0,1
3575,1.0,3,298.0,17.0,201,2,606.6166666666667,1,1,0
3576,2.0,5,147.0,0.0,52,10,1085.2666666666667,0,0,1
3577,1.0,2,276.0,17.0,17,29,56.1,0,1,0
3578,4.0,2,109.0,37.0,318,4,81.16666666666667,0,1,0
3579,2.0,6,106.0,0.0,108,9,125.26666666666668,1,1,0
3580,2.0,5,230.0,10.0,37,11,1325.4,1,0,0
3581,1.0,3,126.0,108.0,15,3,106.76666666666668,1,1,0
3582,4.0,9,370.0,3.0,200,2,9.15,1,1,0
3583,1.0,2,398.0,4.0,194,7,1629.7666666666669,0,1,0
3584,2.0,6,167.0,12.0,22,9,57.48333333333333,1,1,1
3585,2.0,3,128.0,10.0,22,31,2301.55,0,0,0
3586,3.0,3,219.0,0.0,113,9,4670.216666666666,0,1,0
3587,2.0,2,0.0,9.0,69,4,231.7,0,0,1
3588,4.0,3,277.0,0.0,3,2,100.26666666666668,0,1,0
3589,4.0,11,48.0,0.0,61,4,1132.6,1,1,1
3590,1.0,6,1177.0,3.0,27,1,52.03333333333333,0,1,0
3591,3.0,8,130.0,18.0,200,8,70.3,1,1,0
3592,4.0,2,105.0,95.0,97,3,624.55,0,1,1
3593,1.0,11,4.0,2.0,91,2,440.76666666666665,1,0,1
3595,2.0,8,0.0,7.0,116,8,1.55,1,0,1
3597,3.0,2,238.0,16.0,115,4,72.36666666666666,0,0,1
3599,2.0,6,116.0,24.0,34,2,88.11666666666666,0,0,1
3601,4.0,4,109.0,0.0,180,6,107.23333333333332,0,1,0
3603,1.0,25,707.0,26.0,114,14,12.6,1,1,0
3604,8.0,2,414.0,0.0,28,4,1.916666666666667,0,0,0
3605,5.0,3,228.0,3.0,27,7,3.2666666666666666,1,1,0
